                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.74565,                0.45792,                 1.0077,                0.83439,                 0.7643,                0.82165,                0.61331,                0.99191,                0.73965,                 1.3102,              0.0011554,              0.0011554,              0.0011554
                     95,                0.74535,                0.47173,                 1.0141,                0.90705,                0.73474,                0.81695,                0.61959,                0.96786,                0.70314,                 1.2931,              0.0011499,              0.0011499,              0.0011499
                     96,                0.74088,                0.46934,                 1.0193,                0.87811,                0.73943,                0.82741,                0.62856,                0.94255,                0.70303,                  1.284,              0.0011444,              0.0011444,              0.0011444
                     97,                0.75109,                0.46172,                 1.0188,                0.90267,                0.70613,                0.81817,                0.61024,                0.99628,                0.74162,                 1.3102,              0.0011389,              0.0011389,              0.0011389
                     98,                0.72739,                0.44691,                 1.0226,                 0.8791,                0.75435,                0.82231,                0.62335,                0.93612,                0.70609,                 1.2592,              0.0011334,              0.0011334,              0.0011334
                     99,                0.74893,                0.47502,                 1.0305,                0.83821,                 0.7709,                0.82321,                0.61437,                0.95067,                0.68631,                   1.29,              0.0011279,              0.0011279,              0.0011279
                    100,                0.74806,                0.46802,                 1.0108,                0.90711,                0.74515,                0.82382,                0.62098,                0.97826,                0.70493,                 1.3076,              0.0011224,              0.0011224,              0.0011224
                    101,                0.71234,                0.44114,                0.99901,                0.88046,                0.76057,                0.82321,                0.62475,                0.92971,                0.71116,                 1.2729,              0.0011169,              0.0011169,              0.0011169
                    102,                 0.7164,                0.44068,                 1.0059,                0.92497,                0.73736,                0.83501,                0.63651,                0.92697,                0.71827,                 1.2599,              0.0011114,              0.0011114,              0.0011114
                    103,                0.71101,                0.43982,                 1.0021,                 0.8922,                0.77032,                0.83758,                0.63257,                0.94104,                0.69609,                 1.2666,              0.0011059,              0.0011059,              0.0011059
                    104,                0.70233,                0.44514,                 1.0045,                0.85733,                0.79913,                0.84056,                0.63642,                0.94368,                0.69093,                 1.2618,              0.0011004,              0.0011004,              0.0011004
                    105,                0.71438,                0.44969,                 1.0139,                0.89199,                0.74938,                0.83217,                0.62343,                0.98773,                0.71458,                 1.2911,              0.0010949,              0.0010949,              0.0010949
                    106,                0.75179,                 0.4814,                 1.0277,                0.87988,                0.75622,                0.83851,                0.63746,                0.94592,                0.71192,                 1.2852,              0.0010894,              0.0010894,              0.0010894
                    107,                0.72034,                 0.4429,                 1.0149,                0.86565,                0.77773,                0.84393,                0.64416,                0.93634,                0.68615,                 1.2965,              0.0010839,              0.0010839,              0.0010839
                    108,                0.70113,                0.44058,                  1.004,                0.85647,                0.78545,                0.83855,                0.64628,                0.91238,                0.66405,                 1.2916,              0.0010784,              0.0010784,              0.0010784
                    109,                0.68361,                0.42705,                0.98924,                0.87232,                0.77414,                0.84565,                0.65158,                0.89845,                 0.6644,                 1.2641,              0.0010729,              0.0010729,              0.0010729
                    110,                0.67997,                0.42316,                0.97935,                0.89603,                0.76555,                0.84502,                0.64884,                0.90594,                0.66909,                 1.2558,              0.0010674,              0.0010674,              0.0010674
                    111,                0.68013,                0.43848,                 1.0127,                0.89107,                0.77363,                0.85258,                0.64931,                 0.8996,                0.67166,                 1.2403,              0.0010619,              0.0010619,              0.0010619
                    112,                0.68105,                0.43268,                0.98866,                0.89916,                0.76468,                0.84347,                0.64937,                0.91896,                0.66494,                 1.2805,              0.0010564,              0.0010564,              0.0010564
                    113,                0.69261,                0.43454,                0.99424,                0.86476,                0.75871,                0.84146,                  0.639,                0.94007,                0.68499,                 1.2938,              0.0010509,              0.0010509,              0.0010509
                    114,                0.69521,                 0.4223,                0.99726,                0.89457,                0.73916,                0.83409,                0.63872,                0.91597,                0.67674,                 1.2686,              0.0010454,              0.0010454,              0.0010454
                    115,                0.69231,                0.43308,                0.99686,                0.85174,                 0.7699,                0.81412,                0.63725,                 0.8863,                0.71385,                 1.2256,              0.0010399,              0.0010399,              0.0010399
                    116,                0.68477,                0.42769,                0.99429,                0.89259,                0.74606,                0.82612,                0.64648,                0.87597,                0.67541,                 1.2478,              0.0010344,              0.0010344,              0.0010344
                    117,                0.67571,                 0.4178,                0.98972,                0.92327,                0.72844,                0.83086,                0.65114,                0.87391,                0.66113,                 1.2566,              0.0010289,              0.0010289,              0.0010289
                    118,                0.66752,                0.41963,                0.98049,                0.89946,                0.74813,                0.82886,                0.63798,                 0.9106,                0.70343,                  1.287,              0.0010234,              0.0010234,              0.0010234
                    119,                0.64959,                0.42064,                0.98322,                0.90191,                0.76244,                0.83237,                  0.649,                0.89952,                0.70773,                 1.2606,              0.0010179,              0.0010179,              0.0010179
                    120,                 0.6697,                0.41653,                0.98718,                0.85851,                0.76638,                0.82887,                0.64685,                0.89512,                0.74624,                 1.2483,              0.0010124,              0.0010124,              0.0010124
                    121,                0.66114,                0.41483,                0.98482,                0.88792,                0.75499,                0.84179,                0.66291,                0.87166,                0.73824,                 1.2246,              0.0010069,              0.0010069,              0.0010069
                    122,                0.65239,                0.41562,                0.98021,                0.86936,                0.77021,                0.82701,                0.65258,                0.90047,                0.78057,                 1.2533,              0.0010014,              0.0010014,              0.0010014
                    123,                0.64976,                0.41256,                0.97614,                 0.8595,                 0.7898,                0.83696,                0.64408,                0.90035,                0.67942,                 1.2685,             0.00099587,             0.00099587,             0.00099587
                    124,                 0.6626,                0.41852,                0.96879,                0.86397,                0.77018,                 0.8249,                0.63594,                0.89539,                0.67607,                 1.2391,             0.00099036,             0.00099036,             0.00099036
                    125,                0.64805,                 0.4142,                0.97563,                0.83761,                 0.8095,                0.82819,                0.64109,                0.88189,                0.67234,                 1.2391,             0.00098486,             0.00098486,             0.00098486
                    126,                0.66276,                0.42535,                 0.9828,                0.87129,                0.78417,                0.81808,                0.63648,                0.89743,                0.72118,                 1.2562,             0.00097936,             0.00097936,             0.00097936
                    127,                0.65918,                0.42776,                0.98205,                0.89324,                0.78172,                0.84667,                0.66282,                0.84752,                0.67977,                 1.2294,             0.00097386,             0.00097386,             0.00097386
                    128,                0.65731,                 0.4258,                0.98353,                0.85821,                 0.7842,                0.83458,                0.64681,                0.88447,                 0.6628,                 1.2702,             0.00096836,             0.00096836,             0.00096836
                    129,                0.65847,                0.42247,                0.98396,                0.88937,                0.74178,                0.81646,                0.64765,                0.87953,                0.69221,                  1.244,             0.00096286,             0.00096286,             0.00096286
                    130,                0.65374,                0.40963,                 0.9766,                0.89691,                0.73632,                0.81467,                0.63808,                0.85558,                0.71749,                 1.2268,             0.00095736,             0.00095736,             0.00095736
